title,body_text,hashtags
K - NIBRT ] 연세대학교 K - NIBRT 교육센터 교육생 모집 안내,"//<![CDATA[ var resPath = '/_custom/yonseidep/resource/', isEditorImageUpload = 'true' == 'false'? false: true; //]]> 제목 [K-NIBRT] 연세대학교 K-NIBRT 교육센터 교육생 모집 안내 작성일 2025.09.24 작성자 약학대학관리자 게시글 내용 목록 이전글 [일반대학원] 2025-2학기 수강철회 안내 다음글 제3회 규제과학 연구 우수논문 경진대회 안내",#학사
미래의학연구재단 ] 제9회 미래의학국제포럼 개최 안내,"//<![CDATA[ var resPath = '/_custom/yonseidep/resource/', isEditorImageUpload = 'true' == 'false'? false: true; //]]> 제목 [미래의학연구재단] 제9회 미래의학국제포럼 개최 안내 작성일 2025.10.24 작성자 약학대학관리자 게시글 내용 목록 이전글 [외부기관] 서울대학교 약학대학 규제과학 교육 수요조사 안내 다음글 다음글이 없습니다.",#행사
제22차 동물실험윤리위원회 ( IACUC,"//<![CDATA[ var resPath = '/_custom/yonseidep/resource/', isEditorImageUpload = 'true' == 'false'? false: true; //]]> 제목 제22차 동물실험윤리위원회(IACUC) 세미나 안내 작성일 2025.10.15 작성자 약학대학관리자 게시글 내용 「동물보호법」시행령 제20조 제3호 및「실험동물에 관한 법률」제17조에 의하여 동물실험을 수행하는 연구자는 <실험동물의 사용·관리 등에 관한 교육>을 받아야 하며, IACUC 심의시 모든 연구자는 <교육이수증 제출>이 필수로 교육 이수증은 유효기간이 ‘3년’입니다.※ 교육 인정 범위1) 교내 교육 (IACUC 세미나)2) 식약처 주관 교육이에 연구처 연구윤리센터에서는 동물실험에 대한 전반적 지식 및 윤리적 이용에 관한 <제22차 IACUC 세미나>를 아래와 같이 개최하고자 합니다.가. 교육명: 제22차 동물실험윤리위원회(IACUC) 세미나나. 주제: 실험동물의 사용 및 관리에 관한 교육다. 일시: 2025. 10. 30.(목) 14:00 ~ 16:00라. 장소: zoom 프로그램을 이용한 온라인 교육마. 교육대상: 동물실험을 수행하는 교수 및 석.박사 연구원바. 일정표 및 접수방법: 안내문(붙임1) 참조 첨부 붙임1_제22차 IACUC세미나 안내문(2025-2).pdf 붙임2_IACUC 세미나 참가 신청서 서식(2025-2).hwp 목록 이전글 제3회 규제과학 연구 우수논문 경진대회 안내 다음글 [외부기관] 서울대학교 약학대학 규제과학 교육 수요조사 안내",#일반
외부기관 ] 서울대학교 약학대학 규제과학 교육 수요조사 안내,"//<![CDATA[ var resPath = '/_custom/yonseidep/resource/', isEditorImageUpload = 'true' == 'false'? false: true; //]]> 제목 [외부기관] 서울대학교 약학대학 규제과학 교육 수요조사 안내 작성일 2025.10.22 작성자 약학대학관리자 게시글 내용 식품의약품안전처 지원 연구과제인「면역세포치료 분야 규제과학 인재양성 프로그램 개발」의 일환으로,약학대학 학부(5‧6학년) 및 대학원생을 대상으로 교육 수요조사(온라인 설문)를 진행하고 있습니다.이번 조사는 면역세포치료 및 첨단바이오의약품 분야의 규제과학 교육 수요를 파악하여향후 면역세포치료 규제과학 교육과정 개발의 기초자료로 활용될 예정입니다.[참여 대상]면역세포치료제나 첨단바이오의약품 분야에 관심이 있으며,관련 전공(약학, 생명과학 등)을 이수 중인 대학생(졸업예정자 포함) 또는 대학원생[참여 내용]- 규제과학 교육에 대한 관심 및 필요성 인식- 선호하는 교육 주제, 형식, 난이도, 운영 시간대, 교육 참여 시 예상되는 제약 요인 등- 향후 참여 의사 및 기대 사항[조사 개요]- 조사 기간: 2025년 10월 21일(화) ~ 10월 31일(금)- 소요 시간: 약 10분 내외- 참여 사례: 1만원 상당의 모바일 상품권 제공- 설문 링크: https://moaform.com/q/SVJCF3(응답은 익명으로 처리되며, 연구 목적 외에는 사용되지 않습니다.) 목록 이전글 제22차 동물실험윤리위원회(IACUC) 세미나 안내 다음글 [미래의학연구재단] 제9회 미래의학국제포럼 개최 안내",#일반
대학원 ] 2025학년도 2학기 가계 곤란 장학금 ( Need - based Fellowship,"//<![CDATA[ var resPath = '/_custom/yonseidep/resource/', isEditorImageUpload = 'true' == 'false'? false: true; //]]> 제목 [대학원] 2025학년도 2학기 가계 곤란 장학금(Need-based Fellowship) 시행 안내 작성일 2025.09.24 작성자 약학대학관리자 게시글 내용 안녕하세요연세대학교 약학대학입니다.대학원으로부터 2025학년도 2학기 가계 곤란 장학금 시행 안내 공문을 받아 해당 내용을 공람드립니다.신청하고자 하는 학생은 첨부된 공문과 신청서를 참고하셔서 일반대학원으로 직접 신청하여 주시기 바랍니다.1. 장학금 개요 가. 장학금명: 가계 곤란 장학금(Need-based Fellowship) 나. 대상자: 내국인 재학생 중 기초생활수급자 * 의과대학/치과대학/간호대학/계약학과/전문연구요원/휴학생 제외 다. 지원내역: 1인당 3백만원 * 해당 장학금은 Fellowship 장학금으로 기타 장학금과 별도로 지원 * 단과대학 주관 가계곤란장학금은 미선발 라. 지원기간: 해당 학기(1개 학기) 2. 장학금 신청 절차 및 선발 기준 가. 신청 절차: 학생 본인이 제출 서류 첨부하여 일반대학원 이메일(cye@yonsei.ac.kr)로 신청 나. 제출 서류 1) 장학금 신청서 1부 2) 기초생활수급자 증명서 원본 1부(2025년도 이후 발급분) 3) 가족관계증명서 원본 1부(본인이 수급자가 아닌 경우) * 수급자 증명서 명의가 본인이 아닌 직계존속 명의일 경우, 가족관계증명서 1부 추가 제출 * 제출 서류에 주민등록번호가 있는 경우, 뒷자리는 ***로 발급받거나, 반드시 뒷자리를 지우고 제출 다. 선발 기준 1) 대상자 조건(기초생활수급자 등) 및 서류 진위 여부 검토 후 선발 2) 선발 가능 인원 초과시, 대학원 심사를 거쳐 최종 선발 첨부 가계곤란장학금(Need-based Fellowship) 신청서 (1).hwpx 2025학년도 2학기 가계 곤란 장학금(Need-based Fellowship) 시행 안내.pdf 목록 이전글 [K-NIBRT] 제3차 K-NIBRT 취업 특강 및 채용 세미나 안내 다음글 [일반대학원] 2025-2학기 수강철회 안내",#장학
일반대학원 ] 2025 - 2학기 수강철회 안내,"//<![CDATA[ var resPath = '/_custom/yonseidep/resource/', isEditorImageUpload = 'true' == 'false'? false: true; //]]> 제목 [일반대학원] 2025-2학기 수강철회 안내 작성일 2025.09.24 작성자 약학대학관리자 게시글 내용 안녕하세요약학대학 행정팀입니다.대학원 교학팀으로부터 2025-2학기 수강철회 안내공문을 받아 해당 내용 공람드립니다.참고하셔서 수강철회를 희망하는 일반대학원 학생은 수강철회 기간에 직접 철회 신청하시기 바랍니다.1. 2025-2학기 일반대학원 수강철회를 안내드립니다. 2. 주요사항 가. 신청: 연세포털서비스를 통한 온라인 신청 나. 기간: 2025. 10. 13.(월) 10:00 ∼ 10. 15.(수) 23:59 3. 세부사항 가. 대상: 2025-2학기 교과목 수강철회를 희망하는 일반대학원 학생 나. 방법: 연세포털서비스에서 학생이 직접 온라인으로 철회 신청 (학사정보시스템 → 학사행정 → 수업 → 수강철회신청) 다. 수강철회 시 유의사항 1) 수강과목 철회 후 다른 과목으로 대체 수강신청 할 수 없으며, 철회 후 수강신청 과목이 최소 1과목 이상 남아 있어야 함 2) 철회한 과목은 성적평가 및 취득학점에서 제외되며, 성적증명서 ＂W＂(Withdraw) 기재 3) 철회한 교과목을 재수강하더라도 기록은 삭제되지 않음 4) 수강을 철회한 교과목에 대한 등록금은 반환되지 않음 5) 학부보충과목의 수강철회도 일반대학원 수강철회 기간 중에만 가능 첨부 [일반대학원] 2025-2학기 수강철회 안내.pdf 목록 이전글 [대학원] 2025학년도 2학기 가계 곤란 장학금(Need-based Fellowship) 시행 안내 다음글 [K-NIBRT] 연세대학교 K-NIBRT 교육센터 교육생 모집 안내",#학사
K - NIBRT ] 제3차 K - NIBRT 취업 특강 및 채용 세미나 안내,"//<![CDATA[ var resPath = '/_custom/yonseidep/resource/', isEditorImageUpload = 'true' == 'false'? false: true; //]]> 제목 [K-NIBRT] 제3차 K-NIBRT 취업 특강 및 채용 세미나 안내 작성일 2025.09.18 작성자 약학대학관리자 게시글 내용 목록 이전글 2025년 후기 자연계대학원 전문연구요원 편입대상자 선발 공고 안내 다음글 [대학원] 2025학년도 2학기 가계 곤란 장학금(Need-based Fellowship) 시행 안내","#취업,#행사"
[교내활동] 2025 통일보건의료센터 통일 탐방 프로그램 안내,"관리자 2025-09-01 조회수 561 2025 통일보건의료센터 통일탐방참석 명단(양식).xlsx 학생들에게 안녕하세요, 간호대학 학생부입니다. 연세대학교의료원 통일보건의료센터에서 2025 통일 탐방 프로그램을 개최합니다. 참여 희망 학생은 9월 4일 (목) 낮 12시까지 첨부된 신청서 양식을 학생부(yoonc411@yuhs.ac)로 제출 부탁드립니다. *여행자 단체 보험 가입을 위해 주민등록번호가 필요하다고 합니다. 감사합니다.",#행사
[공채모집] 2025-2 실습교육코디네이터 및 조교 공채 모집,"관리자 2025-06-09 조회수 966 [양식] 간호대학 순환조교 지원서.hwp [양식] 간호대학 일반조교 지원서.hwp [채용공고] 2025-2 실습교육코디네이터 및 조교(순환,일반) 채용공고.pdf",#취업
[한국기초간호학회] 2025년도 춘계학술대회,관리자 2025-04-30 조회수 1341,#행사
